class,precision,recall,f1
Alface,1.0,0.9473684210526315,0.972972972972973
Almondega,0.8888888888888888,1.0,0.9411764705882353
Arroz,1.0,1.0,1.0
BatataFrita,1.0,1.0,1.0
Beterraba,0.9333333333333333,1.0,0.9655172413793104
BifeBovinoChapa,1.0,1.0,1.0
CarneBovinaPanela,1.0,1.0,1.0
Cenoura,1.0,1.0,1.0
FeijaoCarioca,0.9230769230769231,1.0,0.96
Macarrao,1.0,0.8888888888888888,0.9411764705882353
Maionese,1.0,1.0,1.0
PeitoFrango,1.0,1.0,1.0
PureBatata,1.0,1.0,1.0
StrogonoffCarne,0.9230769230769231,0.8571428571428571,0.8888888888888888
StrogonoffFrango,1.0,0.9523809523809523,0.975609756097561
Tomate,1.0,1.0,1.0
